Artist,Song Title,Video ID,View Count,Thumbnail URL
Akon feat. Biggie Smalls & Tupac,Ghetto (Remix),-WCcdl5xfwM,19602558,https://i.ytimg.com/vi/-WCcdl5xfwM/default.jpg
Potter Payper,Behind Barz,7kMZqNpGmPk,5818632,https://i.ytimg.com/vi/7kMZqNpGmPk/default.jpg
Fredo,Tiffany Calver Freestyle,3HdzUVVgf1k,12920538,https://i.ytimg.com/vi/3HdzUVVgf1k/default.jpg
Lil Peep,Star Shopping,q0KtW7J_d4c,36195145,https://i.ytimg.com/vi/q0KtW7J_d4c/default.jpg
Wiz Khalifa,Mezmorized,sfSyvgJS9wA,19259603,https://i.ytimg.com/vi/sfSyvgJS9wA/default.jpg
Mac Miller,Good Evening,ST4HeGPuw8Y,11422994,https://i.ytimg.com/vi/ST4HeGPuw8Y/default.jpg
J. Cole,Dreams,zLGgB2NzMss,13141367,https://i.ytimg.com/vi/zLGgB2NzMss/default.jpg
J. Cole ,Dead Presidents II,6_6QnPEWUIk,1187181,https://i.ytimg.com/vi/6_6QnPEWUIk/default.jpg
Jay-Z,Dead Presidents II,mWUCAjlePKg,5503852,https://i.ytimg.com/vi/mWUCAjlePKg/default.jpg
Kanye West,Livin' a Movie,22ZW8XQr2SA,625481,https://i.ytimg.com/vi/22ZW8XQr2SA/default.jpg
Drake ft. Soulja Boy,We Made It,jhenogvNrno,23595884,https://i.ytimg.com/vi/jhenogvNrno/default.jpg
Dave,Picture Me,Ki0vh9DUOsY,296803,https://i.ytimg.com/vi/Ki0vh9DUOsY/default.jpg
Mac Miller ,K.I.D.S Full Mixtape,KRGFL2L6kLc,193192,https://i.ytimg.com/vi/KRGFL2L6kLc/default.jpg
Skream featuring Skepta and Jammer,Midnight Request Line,cYsTKo4wjm0,40906,https://i.ytimg.com/vi/cYsTKo4wjm0/default.jpg
Bugzy Malone ,[Elite Sessions],hdXcSH8tbw8,17299410,https://i.ytimg.com/vi/hdXcSH8tbw8/default.jpg
Sheck Wes,Mo Bamba,G4SwKBSlRME,5136383,https://i.ytimg.com/vi/G4SwKBSlRME/default.jpg
Drake,5AM In Toronto,3t195yz9xCc,32524325,https://i.ytimg.com/vi/3t195yz9xCc/default.jpg
Mac Miller featuring Miley Cyrus,Party in the USA Remix,cy9hGvfm-II,3301363,https://i.ytimg.com/vi/cy9hGvfm-II/default.jpg
Mac Miller,Cruisin',E4QOTftvFEU,11309066,https://i.ytimg.com/vi/E4QOTftvFEU/default.jpg
Mac Miller,Get It On The Floor (Remix),1WtQua8V-uw,2551485,https://i.ytimg.com/vi/1WtQua8V-uw/default.jpg
Lil Peep ft. Horsehead,Right Here,oXw9tYafknQ,21574098,https://i.ytimg.com/vi/oXw9tYafknQ/default.jpg
Kid Cudi,I Be High,Fh-O6nvQr9Q,12377056,https://i.ytimg.com/vi/Fh-O6nvQr9Q/default.jpg
Lil Peep,Gym Class,Llkt3jnOX9Y,12407975,https://i.ytimg.com/vi/Llkt3jnOX9Y/default.jpg
Emma.P & C.P,Outside Looking In,21Ue6-ZhpEg,11671,https://i.ytimg.com/vi/21Ue6-ZhpEg/default.jpg
Mac Miller (with The Internet),Objects In The Mirror,9Gbl-IDp1qc,30169289,https://i.ytimg.com/vi/9Gbl-IDp1qc/default.jpg
KanYe West,1997 Beat Tape (KanYe West for president 2020),myrXQebr488,3491907,https://i.ytimg.com/vi/myrXQebr488/default.jpg
Redman,Dunfiato,vu_tvemD578,12293296,https://i.ytimg.com/vi/vu_tvemD578/default.jpg
Kanye West,Freestyle 2005,o6N4Mdx2YrQ,361039,https://i.ytimg.com/vi/o6N4Mdx2YrQ/default.jpg
Kanye West ,Freestyle 2004,8T_Pvb2kNCQ,775633,https://i.ytimg.com/vi/8T_Pvb2kNCQ/default.jpg
Mac Miller,Best Day Ever,qKkDyX78_sQ,1021327,https://i.ytimg.com/vi/qKkDyX78_sQ/default.jpg
Oasis,Whatever (Acoustic),w968FiLlYJE,4326679,https://i.ytimg.com/vi/w968FiLlYJE/default.jpg
Mac Miller ,N/A (It's a freestyle),u9HDRYG7TxE,137503,https://i.ytimg.com/vi/u9HDRYG7TxE/default.jpg
Future ,Wolf (No Sleep),rOi2GjZpoe0,2685342,https://i.ytimg.com/vi/rOi2GjZpoe0/default.jpg
Octavian ,Jerk,-kV8xcMas-M,119108,https://i.ytimg.com/vi/-kV8xcMas-M/default.jpg
